holiday,weekday,summertime,temp,dew,humidity,precip,snowdepth,windspeed,cloudcover,visibility,increase_stock,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_of_week_0,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,hour_of_day_0,hour_of_day_1,hour_of_day_2,hour_of_day_3,hour_of_day_4,hour_of_day_5,hour_of_day_6,hour_of_day_7,hour_of_day_8,hour_of_day_9,hour_of_day_10,hour_of_day_11,hour_of_day_12,hour_of_day_13,hour_of_day_14,hour_of_day_15,hour_of_day_16,hour_of_day_17,hour_of_day_18,hour_of_day_19,hour_of_day_20,hour_of_day_21,hour_of_day_22,hour_of_day_23
0,0,0,0.23991031390134526,0.10538641686182665,0.15516821062896147,0.0,0,0.5525114155251142,0.253,1.0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0.6636771300448431,0.8524590163934426,0.8237445148707949,0.0,0,0.1278538812785388,0.244,0.9937106918238994,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.390134529147982,0.39110070257611235,0.3834714773281327,0.0,0,0.4200913242009132,0.244,1.0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.8475336322869954,0.7447306791569086,0.2581667479278401,0.0,0,0.4840182648401827,0.49200000000000005,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0.23542600896860985,0.3395784543325526,0.6132374451487079,0.0,0,0.2762557077625571,0.7929999999999999,1.0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.4910313901345291,0.40515222482435587,0.24853729887859582,0.0,0,0.4109589041095891,0.49,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0.9394618834080717,0.9391100702576111,0.4179668454412482,0.0,0,0.6232876712328768,0.8109999999999999,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0.5650224215246638,0.4824355971896955,0.26157971721111656,0.0,0,0.54337899543379,0.7929999999999999,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.8094170403587444,0.9672131147540982,0.7346416382252561,0.0,0,0.1894977168949772,0.52,1.0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.7130044843049327,0.8969555035128804,0.8131399317406145,0.011170809013953847,0,0.10958904109589042,0.581,1.0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.41255605381165916,0.2880562060889929,0.18673817649926866,0.0,0,0.28310502283105027,0.244,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,0.5022421524663677,0.5222482435597189,0.42857142857142855,0.0,0,0.6735159817351598,0.988,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,0.8340807174887893,0.8079625292740046,0.36750365675280355,0.0,0,0.3789954337899544,0.861,1.0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0.6659192825112108,0.6791569086651054,0.4258898098488542,0.0,0,0.1324200913242009,0.612,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.3251121076233184,0.3419203747072599,0.41235982447586544,0.0,0,0.24200913242009134,0.0,1.0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0.49327354260089684,0.6463700234192037,0.7352510970258411,0.0,0,0.0,0.7929999999999999,1.0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.4282511210762332,0.26932084309133486,0.14468551925889808,0.0,0,0.33333333333333337,0.244,1.0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0.7062780269058295,0.7681498829039811,0.5242564602632862,0.0,0,0.011415525114155252,0.446,1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0.5896860986547084,0.5245901639344261,0.2882740126767431,0.0,0,0.4497716894977169,0.9109999999999999,1.0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.45515695067264567,0.40983606557377045,0.3082642613359337,0.0,0,0.5091324200913242,0.8029999999999999,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0.695067264573991,0.8501170960187352,0.7300097513408094,0.0,0,0.226027397260274,0.244,1.0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0.4417040358744394,0.5480093676814988,0.6157971721111654,0.0,0,0.12328767123287673,0.9329999999999999,1.0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0.1748878923766816,0.36533957845433246,0.8699414919551439,0.0,1,0.2648401826484018,1.0,0.6163522012578617,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.29820627802690586,0.3536299765807962,0.4958556801560215,0.0,0,0.16210045662100456,1.0,1.0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.6659192825112108,0.5620608899297423,0.23951730862993661,0.0,0,0.4497716894977169,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0.7488789237668161,0.8688524590163933,0.6491955143832278,0.0,0,0.44748858447488593,0.327,1.0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.437219730941704,0.2248243559718969,0.08629936616284738,0.0,0,0.19863013698630136,0.7929999999999999,1.0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,0.34080717488789236,0.2857142857142857,0.2818137493905412,0.0,0,0.35159817351598177,0.244,1.0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0.19955156950672645,0.02576112412177981,0.10238907849829351,0.0,0,0.7899543378995435,0.244,1.0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0.6233183856502241,0.8337236533957844,0.8911506582155045,0.0,0,0.24200913242009134,0.446,0.9748427672955975,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0.7130044843049327,0.901639344262295,0.8192345197464653,0.0,0,0.2100456621004566,0.9440000000000001,1.0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0.36995515695067266,0.45667447306791564,0.5654558751828376,0.0,0,0.15296803652968038,0.244,1.0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.6883408071748879,0.8477751756440282,0.7473183812774257,0.0,0,0.2853881278538813,0.992,1.0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.2713004484304933,0.25058548009367676,0.33117991223793275,0.0,0,0.2785388127853881,0.244,1.0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0.40582959641255606,0.1615925058548009,0.052169673330082864,0.0,0,0.16894977168949774,0.7929999999999999,1.0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0.4708520179372197,0.49882903981264626,0.439419795221843,0.0,0,0.29680365296803657,0.253,1.0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0.6995515695067265,0.7049180327868851,0.41053144807411024,0.0,0,0.41324200913242015,0.853,1.0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.8497757847533631,0.9250585480093676,0.553144807411019,0.0,0,0.41324200913242015,0.272,1.0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.8609865470852017,0.9274004683840747,0.5354705021940517,0.0,0,0.4954337899543379,0.705,1.0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0.7488789237668161,0.9695550351288055,0.9155290102389078,0.0,0,0.2762557077625571,0.941,1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.6300448430493274,0.8430913348946135,0.9010238907849829,0.0,0,0.11872146118721462,0.7929999999999999,1.0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.7488789237668161,0.9250585480093676,0.7853486104339348,0.09902980170847667,0,0.6164383561643836,0.6859999999999999,0.9748427672955975,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0.28475336322869954,0.36533957845433246,0.5539980497318381,0.0,0,0.20547945205479454,0.0,1.0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.4775784753363228,0.49648711943793905,0.4247927840078011,0.0,0,0.4223744292237443,0.8909999999999999,1.0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0.33856502242152464,0.27634660421545665,0.2705997074597757,0.0,0,0.21461187214611874,0.0,1.0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0.7242152466367712,0.7962529274004684,0.5393710385177962,0.0,0,0.3310502283105023,0.8909999999999999,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,0.7152466367713004,0.9274004683840747,0.8912725499756218,0.0,0,0.3584474885844749,0.996,1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
